Event_name,Location,Depth,Magnitude
B051077A,-0.98 127.35,20.0,5.6
B051177A,-43.15 171.98,33.0,5.0
B051177B,2.00 126.88,77.0,5.7
B051277A,13.03 121.71,33.0,5.4
B051277B,39.27 117.71,22.0,5.8
B051277C,21.75 92.99,40.0,5.4
B051277D,16.00 121.15,16.0,5.0
B051277E,50.16 154.99,126.0,5.3
C051377A,28.42 139.50,430.0,5.8
B051477A,1.49 -85.27,33.0,5.2
B051577B,52.45 -168.03,33.0,5.3
B051577A,-19.13 -177.67,499.0,5.5
B051977A,-60.35 -26.56,33.0,5.2
B052077A,-23.87 -176.56,48.0,5.6
B052077B,-4.44 101.98,37.0,5.7
B052077C,-10.22 160.61,33.0,5.4
C052177A,15.70 120.82,189.0,5.7
B052177B,27.58 140.00,340.0,5.1
B052277A,-19.52 -177.25,350.0,5.2
B052377A,-47.87 99.42,33.0,5.0
B052377B,0.67 98.68,40.0,5.5
B052477B,25.47 142.51,9.0,5.7
C052477A,18.81 145.35,207.0,5.7
B052577A,-17.86 -178.62,578.0,5.4
B052577B,4.24 95.77,56.0,5.9
B052677A,38.93 44.38,37.0,5.2
B052877A,-1.73 120.52,54.0,5.9
B052877B,-64.94 175.69,33.0,5.7
B052977A,23.37 64.55,33.0,4.9
B052977B,-34.69 -179.05,33.0,5.5
B053077A,52.43 -169.71,33.0,5.6
B053177A,-11.81 166.51,138.0,5.6
B060177A,36.24 31.34,67.0,5.7
B060377B,39.87 71.79,24.0,5.1
B060377A,36.44 70.76,210.0,5.5
B060377C,-18.94 -177.63,573.0,5.3
B060377D,-14.15 166.56,38.0,5.4
B060577A,-23.87 -70.16,32.0,5.6
B060577B,32.64 48.09,40.0,5.5
B060577C,32.56 48.16,33.0,5.1
B060677A,19.39 -69.48,49.0,4.9
B060677B,-19.24 -175.64,253.0,5.1
B060877A,-22.06 -67.26,144.0,5.4
B060877B,38.54 141.49,78.0,5.5
B060877C,-5.88 113.08,636.0,5.4
B061077A,-3.10 101.49,33.0,5.4
B061377A,-18.53 -174.06,41.0,5.5
B061377B,13.31 124.65,35.0,5.6
B061477A,-14.12 -14.43,33.0,6.0
B061777A,-19.88 -179.10,690.0,5.7
B061777B,19.04 145.69,108.0,5.6
B061877A,-20.89 -68.45,131.0,5.4
B061877B,-9.77 159.67,11.0,5.6
B061977B,4.65 124.93,271.0,5.7
B061977A,47.15 151.09,149.0,5.6
G062277A,-22.88 -175.90,65.0,6.8
B062477A,-22.89 -175.94,33.0,5.5
B062477B,-2.27 100.83,53.0,5.5
B062577A,-4.60 102.23,47.0,5.5
B062577B,-21.32 -179.24,633.0,5.4
B062677A,-22.70 -175.47,51.0,5.4
B062877A,38.63 14.71,261.0,5.3
B062877B,22.56 -45.12,33.0,5.3
B062877C,22.65 -45.14,33.0,5.5
C062877D,22.62 -45.11,33.0,5.8
C062977A,-7.60 127.65,58.0,6.0
B063077A,-19.40 -69.53,106.0,5.4
B070277A,-9.95 160.54,16.0,5.7
B070277B,-25.87 -70.79,32.0,5.4
B070377A,1.44 126.44,51.0,5.9
B070477A,-52.94 -118.51,33.0,5.3
B070677B,5.28 -82.65,33.0,5.4
B070677A,-21.07 -178.57,594.0,5.8
B070877B,10.94 39.63,38.0,5.0
B070877A,-5.81 154.58,127.0,5.8
B070977A,-22.46 -175.10,33.0,5.5
B071077B,-37.93 49.68,33.0,5.4
B071077A,-56.12 -27.56,122.0,6.1
B071077C,-19.13 168.41,12.0,5.5
B071077D,-21.82 -179.29,582.0,5.3
B071077E,-21.92 -179.25,607.0,5.4
B071077F,-6.30 131.05,33.0,5.7
B071177A,51.41 176.31,13.0,5.1
B071177B,0.51 134.96,33.0,5.6
B071377A,29.88 67.45,10.0,5.1
B071477A,40.32 63.68,33.0,5.5
B071577A,24.05 122.21,33.0,5.5
B071577B,-29.39 -112.30,33.0,5.2
B071777A,-62.89 168.22,33.0,5.6
B071877A,35.53 70.31,69.0,5.2
B072077A,54.61 -161.60,53.0,5.3
B072177C,-5.85 147.57,107.0,5.4
C072177A,-53.86 158.60,33.0,6.4
C072177B,16.88 122.36,33.0,6.1
B072277A,-33.80 -179.72,31.0,6.0
B072377A,42.20 83.39,33.0,5.1
C072477A,-15.34 -173.15,33.0,6.0
B072477B,19.50 144.72,409.0,5.4
B072777A,21.65 142.95,302.0,5.1
B072877B,-1.15 -14.04,33.0,5.3
C072877A,44.24 -128.97,15.0,5.1
B072977B,38.19 75.17,102.0,5.2
C072977A,-8.03 155.54,33.0,6.4
B080177A,-20.49 169.62,108.0,5.5
B080177B,-20.04 -178.21,599.0,5.3
B080477A,-56.01 -27.79,112.0,6.1
B080677A,-7.08 155.83,83.0,5.4
B080777A,-12.37 166.30,36.0,5.2
B080777B,8.55 -82.75,33.0,5.2
B080877A,6.93 -77.78,33.0,5.2
B080877B,-10.57 161.33,32.0,5.8
B080877C,-23.81 -179.39,436.0,5.2
B081077A,-8.17 107.64,52.0,5.7
B081077B,-20.73 -178.45,585.0,5.4
C081177A,-17.56 -174.37,57.0,6.3
B081277A,-6.53 155.01,58.0,5.9
B081277B,-9.24 148.28,33.0,5.5
B081477A,10.97 -62.37,112.0,4.9
B081477B,-7.76 107.57,33.0,5.7
B081577A,2.85 -84.29,23.0,5.2
B081577B,38.85 16.98,54.0,5.0
B081777A,-40.87 42.85,33.0,5.1
B081877A,35.23 23.40,42.0,5.2
B081877B,46.63 153.71,33.0,5.7
B081977A,-11.15 118.39,33.0,6.1
L081977B,-11.08 118.46,33.0,7.0
B081977C,-10.93 119.15,33.0,5.8
B081977D,-10.89 119.23,33.0,5.8
B082077A,16.61 -86.85,14.0,5.3
B082077B,16.70 -86.61,36.0,5.6
B082077C,-11.11 119.13,33.0,5.7
C082077D,-11.04 119.14,33.0,6.0
B082177A,-11.16 119.01,33.0,5.4
B082177B,35.24 141.12,42.0,5.5
B082177C,-29.97 -177.91,59.0,5.7
B082177D,-10.86 119.22,33.0,5.6
B082377A,-21.32 -68.23,99.0,5.2
B082377B,-11.39 117.66,33.0,5.7
B082377C,-11.33 118.22,33.0,5.4
B082577A,-14.95 -177.34,33.0,5.1
C082577B,-10.74 119.27,33.0,6.1
B082677B,-10.67 119.30,33.0,5.6
C082677A,-59.43 -20.51,33.0,6.3
